database,dataset_size,indexing,operation,trial_no,execution_time_ms,timestamp
mysql,50000,indexed,read,6,0.6198,2026-05-09T21:04:24
mysql,50000,indexed,read,7,0.6040,2026-05-09T21:04:24
mysql,50000,indexed,read,8,0.7671,2026-05-09T21:04:24
mysql,50000,indexed,read,9,0.7387,2026-05-09T21:04:24
mysql,50000,indexed,read,10,0.6293,2026-05-09T21:04:24
mysql,50000,indexed,update,1,0.7797,2026-05-09T21:04:24
mysql,50000,indexed,update,2,2.2751,2026-05-09T21:04:24
mysql,50000,indexed,update,3,2.0479,2026-05-09T21:04:24
mysql,50000,indexed,update,4,1.9848,2026-05-09T21:04:24
mysql,50000,indexed,update,5,2.1109,2026-05-09T21:04:24
mysql,50000,indexed,update,6,2.9670,2026-05-09T21:04:24
mysql,50000,indexed,update,7,2.5082,2026-05-09T21:04:24
mysql,50000,indexed,update,8,2.0149,2026-05-09T21:04:24
mysql,50000,indexed,update,9,2.0008,2026-05-09T21:04:24
mysql,50000,indexed,update,10,2.1995,2026-05-09T21:04:24
mysql,50000,indexed,delete,1,2.0867,2026-05-09T21:04:24
mysql,50000,indexed,delete,2,1.9174,2026-05-09T21:04:24
mysql,50000,indexed,delete,3,2.2409,2026-05-09T21:04:24
mysql,50000,indexed,delete,4,1.9494,2026-05-09T21:04:24
mysql,50000,indexed,delete,5,2.0583,2026-05-09T21:04:24
mysql,50000,indexed,delete,6,1.9807,2026-05-09T21:04:24
mysql,50000,indexed,delete,7,1.9753,2026-05-09T21:04:24
mysql,50000,indexed,delete,8,2.6832,2026-05-09T21:04:24
mysql,50000,indexed,delete,9,2.1747,2026-05-09T21:04:24
mysql,50000,indexed,delete,10,2.1279,2026-05-09T21:04:24
mysql,50000,no_index,create,1,2.7912,2026-05-09T21:04:46
mysql,50000,no_index,create,2,2.5043,2026-05-09T21:04:46
mysql,50000,no_index,create,3,2.0973,2026-05-09T21:04:46
mysql,50000,no_index,create,4,2.4689,2026-05-09T21:04:46
mysql,50000,no_index,create,5,2.3583,2026-05-09T21:04:46
